영업일자,상품분류,상품명,판매수량
2024-07-04,그랜드테이블,카페모카(HOT),1
2024-07-04,그랜드테이블,초코라떼(HOT),1
2024-07-04,그랜드테이블,청포도주스(ICE),1
2024-07-04,그랜드테이블,아메리카노(HOT),12
2024-07-04,그랜드테이블,아메리카노(ICE),38
2024-07-04,그랜드테이블,아이스메리 스트로베리,4
2024-07-04,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-04,그랜드테이블,꿀자몽블랙티(ICE),1
2024-07-04,그랜드테이블,유자티(ICE),3
2024-07-04,그랜드테이블,아임파인주스,3
2024-07-05,그랜드테이블,카페라떼(HOT),5
2024-07-05,그랜드테이블,카페라떼(ICE),1
2024-07-05,그랜드테이블,카푸치노(HOT),4
2024-07-05,그랜드테이블,바닐라라떼(HOT),4
2024-07-05,그랜드테이블,바닐라라떼(ICE),5
2024-07-05,그랜드테이블,카페모카(HOT),3
2024-07-05,그랜드테이블,초코라떼(HOT),1
2024-07-05,그랜드테이블,초코라떼(ICE),1
2024-07-05,그랜드테이블,청포도주스(ICE),1
2024-07-05,그랜드테이블,아메리카노(HOT),29
2024-07-05,그랜드테이블,아메리카노(ICE),29
2024-07-05,그랜드테이블,아이스메리 스트로베리,9
2024-07-05,그랜드테이블,유자티(HOT),4
2024-07-05,그랜드테이블,유자티(ICE),3
2024-07-05,그랜드테이블,아임파인주스,4
2024-07-06,그랜드테이블,카페라떼(HOT),13
2024-07-06,그랜드테이블,카페라떼(ICE),16
2024-07-06,그랜드테이블,카푸치노(HOT),3
2024-07-06,그랜드테이블,바닐라라떼(HOT),3
2024-07-06,그랜드테이블,바닐라라떼(ICE),7
2024-07-06,그랜드테이블,카페모카(HOT),1
2024-07-06,그랜드테이블,카페모카(ICE),2
2024-07-06,그랜드테이블,초코라떼(HOT),1
2024-07-06,그랜드테이블,초코라떼(ICE),13
2024-07-06,그랜드테이블,아이스티,2
2024-07-06,그랜드테이블,청포도주스(ICE),2
2024-07-06,그랜드테이블,아메리카노(HOT),30
2024-07-06,그랜드테이블,아메리카노(ICE),50
2024-07-06,그랜드테이블,아이스메리 스트로베리,3
2024-07-06,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-06,그랜드테이블,꿀자몽블랙티(ICE),6
2024-07-06,그랜드테이블,유자티(HOT),6
2024-07-06,그랜드테이블,유자티(ICE),1
2024-07-06,그랜드테이블,아임파인주스,4
2024-07-07,그랜드테이블,카페라떼(HOT),3
2024-07-07,그랜드테이블,카페라떼(ICE),5
2024-07-07,그랜드테이블,카푸치노(HOT),3
2024-07-07,그랜드테이블,바닐라라떼(HOT),7
2024-07-07,그랜드테이블,바닐라라떼(ICE),10
2024-07-07,그랜드테이블,카페모카(ICE),3
2024-07-07,그랜드테이블,초코라떼(ICE),5
2024-07-07,그랜드테이블,청포도주스(ICE),1
2024-07-07,그랜드테이블,아메리카노(HOT),39
2024-07-07,그랜드테이블,아메리카노(ICE),34
2024-07-07,그랜드테이블,아이스메리 스트로베리,5
2024-07-07,그랜드테이블,꿀자몽블랙티(HOT),2
2024-07-07,그랜드테이블,유자티(HOT),2
2024-07-07,그랜드테이블,유자티(ICE),2
2024-07-07,그랜드테이블,아임파인주스,5
2024-07-08,그랜드테이블,카페라떼(HOT),7
2024-07-08,그랜드테이블,카페라떼(ICE),6
2024-07-08,그랜드테이블,카푸치노(HOT),2
2024-07-08,그랜드테이블,바닐라라떼(HOT),3
2024-07-08,그랜드테이블,바닐라라떼(ICE),2
2024-07-08,그랜드테이블,카페모카(HOT),1
2024-07-08,그랜드테이블,카페모카(ICE),2
2024-07-08,그랜드테이블,초코라떼(ICE),1
2024-07-08,그랜드테이블,아메리카노(HOT),19
2024-07-08,그랜드테이블,아메리카노(ICE),29
2024-07-08,그랜드테이블,아이스메리 스트로베리,3
2024-07-08,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-08,그랜드테이블,꿀자몽블랙티(ICE),1
2024-07-08,그랜드테이블,유자티(HOT),3
2024-07-08,그랜드테이블,유자티(ICE),1
2024-07-08,그랜드테이블,아임파인주스,1
2024-07-09,그랜드테이블,카페라떼(HOT),7
2024-07-09,그랜드테이블,카페라떼(ICE),2
2024-07-09,그랜드테이블,카푸치노(HOT),2
2024-07-09,그랜드테이블,바닐라라떼(HOT),4
2024-07-09,그랜드테이블,카페모카(HOT),1
2024-07-09,그랜드테이블,초코라떼(ICE),1
2024-07-09,그랜드테이블,청포도주스(ICE),1
2024-07-09,그랜드테이블,아메리카노(HOT),17
2024-07-09,그랜드테이블,아메리카노(ICE),23
2024-07-09,그랜드테이블,꿀자몽블랙티(ICE),2
2024-07-09,그랜드테이블,유자티(HOT),2
2024-07-09,그랜드테이블,아임파인주스,3
2024-07-10,그랜드테이블,카페라떼(HOT),5
2024-07-10,그랜드테이블,카페라떼(ICE),3
2024-07-10,그랜드테이블,바닐라라떼(HOT),3
2024-07-10,그랜드테이블,바닐라라떼(ICE),5
2024-07-10,그랜드테이블,카페모카(HOT),1
2024-07-10,그랜드테이블,카페모카(ICE),1
2024-07-10,그랜드테이블,초코라떼(HOT),1
2024-07-10,그랜드테이블,초코라떼(ICE),2
2024-07-10,그랜드테이블,아이스티,1
2024-07-10,그랜드테이블,청포도주스(ICE),1
2024-07-10,그랜드테이블,아메리카노(HOT),20
2024-07-10,그랜드테이블,아메리카노(ICE),40
2024-07-10,그랜드테이블,아이스메리 스트로베리,3
2024-07-10,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-10,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-10,그랜드테이블,유자티(HOT),1
2024-07-10,그랜드테이블,아임파인주스,1
2024-07-11,그랜드테이블,카페라떼(HOT),6
2024-07-11,그랜드테이블,카페라떼(ICE),5
2024-07-11,그랜드테이블,카푸치노(HOT),1
2024-07-11,그랜드테이블,바닐라라떼(HOT),5
2024-07-11,그랜드테이블,카페모카(HOT),4
2024-07-11,그랜드테이블,초코라떼(HOT),1
2024-07-11,그랜드테이블,초코라떼(ICE),2
2024-07-11,그랜드테이블,청포도주스(ICE),5
2024-07-11,그랜드테이블,아메리카노(HOT),18
2024-07-11,그랜드테이블,아메리카노(ICE),28
2024-07-11,그랜드테이블,아이스메리 스트로베리,5
2024-07-11,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-11,그랜드테이블,꿀자몽블랙티(ICE),1
2024-07-11,그랜드테이블,유자티(ICE),2
2024-07-11,그랜드테이블,아임파인주스,1
2024-07-12,그랜드테이블,카페라떼(HOT),2
2024-07-12,그랜드테이블,카페라떼(ICE),4
2024-07-12,그랜드테이블,카푸치노(HOT),1
2024-07-12,그랜드테이블,바닐라라떼(HOT),1
2024-07-12,그랜드테이블,바닐라라떼(ICE),5
2024-07-12,그랜드테이블,초코라떼(ICE),4
2024-07-12,그랜드테이블,청포도주스(ICE),2
2024-07-12,그랜드테이블,아메리카노(HOT),18
2024-07-12,그랜드테이블,아메리카노(ICE),34
2024-07-12,그랜드테이블,아이스메리 스트로베리,2
2024-07-12,그랜드테이블,유자티(HOT),1
2024-07-13,그랜드테이블,카페라떼(HOT),2
2024-07-13,그랜드테이블,카페라떼(ICE),7
2024-07-13,그랜드테이블,카푸치노(HOT),1
2024-07-13,그랜드테이블,바닐라라떼(HOT),5
2024-07-13,그랜드테이블,바닐라라떼(ICE),11
2024-07-13,그랜드테이블,카페모카(HOT),2
2024-07-13,그랜드테이블,카페모카(ICE),4
2024-07-13,그랜드테이블,초코라떼(HOT),2
2024-07-13,그랜드테이블,초코라떼(ICE),3
2024-07-13,그랜드테이블,청포도주스(ICE),4
2024-07-13,그랜드테이블,아메리카노(HOT),29
2024-07-13,그랜드테이블,아메리카노(ICE),52
2024-07-13,그랜드테이블,아이스메리 스트로베리,5
2024-07-13,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-13,그랜드테이블,꿀자몽블랙티(ICE),2
2024-07-13,그랜드테이블,유자티(ICE),3
2024-07-14,그랜드테이블,카페라떼(HOT),9
2024-07-14,그랜드테이블,카페라떼(ICE),4
2024-07-14,그랜드테이블,카푸치노(HOT),2
2024-07-14,그랜드테이블,바닐라라떼(HOT),3
2024-07-14,그랜드테이블,바닐라라떼(ICE),2
2024-07-14,그랜드테이블,카페모카(ICE),3
2024-07-14,그랜드테이블,초코라떼(ICE),1
2024-07-14,그랜드테이블,아이스티,1
2024-07-14,그랜드테이블,청포도주스(ICE),3
2024-07-14,그랜드테이블,아메리카노(HOT),24
2024-07-14,그랜드테이블,아메리카노(ICE),46
2024-07-14,그랜드테이블,아이스메리 스트로베리,2
2024-07-14,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-14,그랜드테이블,유자티(HOT),2
2024-07-14,그랜드테이블,유자티(ICE),2
2024-07-14,그랜드테이블,아임파인주스,2
2024-07-15,그랜드테이블,카페라떼(HOT),3
2024-07-15,그랜드테이블,카페라떼(ICE),2
2024-07-15,그랜드테이블,카푸치노(HOT),1
2024-07-15,그랜드테이블,바닐라라떼(HOT),2
2024-07-15,그랜드테이블,바닐라라떼(ICE),4
2024-07-15,그랜드테이블,카페모카(HOT),1
2024-07-15,그랜드테이블,카페모카(ICE),1
2024-07-15,그랜드테이블,아이스티,1
2024-07-15,그랜드테이블,청포도주스(ICE),1
2024-07-15,그랜드테이블,아메리카노(HOT),21
2024-07-15,그랜드테이블,아메리카노(ICE),32
2024-07-15,그랜드테이블,아이스메리 스트로베리,2
2024-07-15,그랜드테이블,꿀자몽블랙티(HOT),2
2024-07-15,그랜드테이블,꿀자몽블랙티(ICE),1
2024-07-15,그랜드테이블,유자티(HOT),3
2024-07-15,그랜드테이블,유자티(ICE),2
2024-07-15,그랜드테이블,아임파인주스,1
2024-07-16,그랜드테이블,카페라떼(HOT),4
2024-07-16,그랜드테이블,카페라떼(ICE),9
2024-07-16,그랜드테이블,카푸치노(HOT),3
2024-07-16,그랜드테이블,바닐라라떼(HOT),5
2024-07-16,그랜드테이블,바닐라라떼(ICE),2
2024-07-16,그랜드테이블,카페모카(ICE),1
2024-07-16,그랜드테이블,초코라떼(HOT),1
2024-07-16,그랜드테이블,초코라떼(ICE),1
2024-07-16,그랜드테이블,청포도주스(ICE),1
2024-07-16,그랜드테이블,아메리카노(HOT),15
2024-07-16,그랜드테이블,아메리카노(ICE),23
2024-07-16,그랜드테이블,아이스메리 스트로베리,2
2024-07-16,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-16,그랜드테이블,유자티(HOT),2
2024-07-16,그랜드테이블,유자티(ICE),2
2024-07-16,그랜드테이블,아임파인주스,2
2024-07-17,그랜드테이블,카페라떼(HOT),4
2024-07-17,그랜드테이블,카페라떼(ICE),4
2024-07-17,그랜드테이블,바닐라라떼(ICE),1
2024-07-17,그랜드테이블,카페모카(HOT),2
2024-07-17,그랜드테이블,초코라떼(HOT),2
2024-07-17,그랜드테이블,초코라떼(ICE),4
2024-07-17,그랜드테이블,아메리카노(HOT),13
2024-07-17,그랜드테이블,아메리카노(ICE),32
2024-07-17,그랜드테이블,아이스메리 스트로베리,5
2024-07-17,그랜드테이블,유자티(HOT),1
2024-07-17,그랜드테이블,아임파인주스,6
2024-07-18,그랜드테이블,카페라떼(HOT),7
2024-07-18,그랜드테이블,카페라떼(ICE),2
2024-07-18,그랜드테이블,바닐라라떼(HOT),1
2024-07-18,그랜드테이블,바닐라라떼(ICE),5
2024-07-18,그랜드테이블,카페모카(ICE),1
2024-07-18,그랜드테이블,초코라떼(HOT),3
2024-07-18,그랜드테이블,초코라떼(ICE),6
2024-07-18,그랜드테이블,청포도주스(ICE),2
2024-07-18,그랜드테이블,아메리카노(HOT),10
2024-07-18,그랜드테이블,아메리카노(ICE),31
2024-07-18,그랜드테이블,아이스메리 스트로베리,5
2024-07-18,그랜드테이블,유자티(HOT),1
2024-07-18,그랜드테이블,유자티(ICE),4
2024-07-18,그랜드테이블,아임파인주스,1
2024-07-19,그랜드테이블,카페라떼(HOT),2
2024-07-19,그랜드테이블,카페라떼(ICE),7
2024-07-19,그랜드테이블,바닐라라떼(HOT),1
2024-07-19,그랜드테이블,바닐라라떼(ICE),2
2024-07-19,그랜드테이블,카페모카(ICE),1
2024-07-19,그랜드테이블,초코라떼(ICE),4
2024-07-19,그랜드테이블,아이스티,1
2024-07-19,그랜드테이블,아메리카노(HOT),27
2024-07-19,그랜드테이블,아메리카노(ICE),29
2024-07-19,그랜드테이블,아이스메리 스트로베리,7
2024-07-19,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-19,그랜드테이블,유자티(HOT),1
2024-07-19,그랜드테이블,유자티(ICE),1
2024-07-19,그랜드테이블,아임파인주스,1
2024-07-20,그랜드테이블,카페라떼(HOT),11
2024-07-20,그랜드테이블,카페라떼(ICE),10
2024-07-20,그랜드테이블,바닐라라떼(HOT),3
2024-07-20,그랜드테이블,바닐라라떼(ICE),10
2024-07-20,그랜드테이블,카페모카(ICE),2
2024-07-20,그랜드테이블,초코라떼(HOT),2
2024-07-20,그랜드테이블,초코라떼(ICE),3
2024-07-20,그랜드테이블,아이스티,1
2024-07-20,그랜드테이블,청포도주스(ICE),2
2024-07-20,그랜드테이블,아메리카노(HOT),34
2024-07-20,그랜드테이블,아메리카노(ICE),53
2024-07-20,그랜드테이블,아이스메리 스트로베리,5
2024-07-20,그랜드테이블,꿀자몽블랙티(ICE),4
2024-07-20,그랜드테이블,유자티(HOT),2
2024-07-20,그랜드테이블,유자티(ICE),4
2024-07-20,그랜드테이블,아임파인주스,4
2024-07-21,그랜드테이블,카페라떼(HOT),11
2024-07-21,그랜드테이블,카페라떼(ICE),8
2024-07-21,그랜드테이블,바닐라라떼(HOT),1
2024-07-21,그랜드테이블,바닐라라떼(ICE),5
2024-07-21,그랜드테이블,초코라떼(HOT),2
2024-07-21,그랜드테이블,초코라떼(ICE),4
2024-07-21,그랜드테이블,아이스티,1
2024-07-21,그랜드테이블,청포도주스(ICE),6
2024-07-21,그랜드테이블,아메리카노(HOT),32
2024-07-21,그랜드테이블,아메리카노(ICE),50
2024-07-21,그랜드테이블,아이스메리 스트로베리,8
2024-07-21,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-21,그랜드테이블,유자티(HOT),5
2024-07-21,그랜드테이블,유자티(ICE),3
2024-07-21,그랜드테이블,아임파인주스,4
2024-07-22,그랜드테이블,카페라떼(HOT),6
2024-07-22,그랜드테이블,카페라떼(ICE),7
2024-07-22,그랜드테이블,바닐라라떼(HOT),5
2024-07-22,그랜드테이블,바닐라라떼(ICE),2
2024-07-22,그랜드테이블,카페모카(ICE),1
2024-07-22,그랜드테이블,초코라떼(ICE),3
2024-07-22,그랜드테이블,아이스티,2
2024-07-22,그랜드테이블,청포도주스(ICE),1
2024-07-22,그랜드테이블,아메리카노(HOT),15
2024-07-22,그랜드테이블,아메리카노(ICE),25
2024-07-22,그랜드테이블,아이스메리 스트로베리,4
2024-07-22,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-22,그랜드테이블,꿀자몽블랙티(ICE),2
2024-07-22,그랜드테이블,유자티(HOT),2
2024-07-22,그랜드테이블,유자티(ICE),2
2024-07-22,그랜드테이블,아임파인주스,1
2024-07-23,그랜드테이블,카페라떼(HOT),8
2024-07-23,그랜드테이블,카페라떼(ICE),2
2024-07-23,그랜드테이블,카푸치노(HOT),1
2024-07-23,그랜드테이블,바닐라라떼(HOT),2
2024-07-23,그랜드테이블,바닐라라떼(ICE),1
2024-07-23,그랜드테이블,카페모카(HOT),1
2024-07-23,그랜드테이블,카페모카(ICE),2
2024-07-23,그랜드테이블,초코라떼(HOT),2
2024-07-23,그랜드테이블,초코라떼(ICE),1
2024-07-23,그랜드테이블,아메리카노(HOT),10
2024-07-23,그랜드테이블,아메리카노(ICE),30
2024-07-23,그랜드테이블,아이스메리 스트로베리,5
2024-07-23,그랜드테이블,유자티(HOT),1
2024-07-23,그랜드테이블,유자티(ICE),3
2024-07-23,그랜드테이블,아임파인주스,2
2024-07-24,그랜드테이블,카페라떼(HOT),4
2024-07-24,그랜드테이블,카페라떼(ICE),5
2024-07-24,그랜드테이블,바닐라라떼(HOT),2
2024-07-24,그랜드테이블,바닐라라떼(ICE),6
2024-07-24,그랜드테이블,카페모카(HOT),2
2024-07-24,그랜드테이블,카페모카(ICE),1
2024-07-24,그랜드테이블,초코라떼(ICE),2
2024-07-24,그랜드테이블,아이스티,1
2024-07-24,그랜드테이블,청포도주스(ICE),2
2024-07-24,그랜드테이블,아메리카노(HOT),17
2024-07-24,그랜드테이블,아메리카노(ICE),40
2024-07-24,그랜드테이블,아이스메리 스트로베리,3
2024-07-24,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-24,그랜드테이블,유자티(ICE),2
2024-07-24,그랜드테이블,아임파인주스,2
2024-07-25,그랜드테이블,카페라떼(HOT),3
2024-07-25,그랜드테이블,카페라떼(ICE),3
2024-07-25,그랜드테이블,바닐라라떼(ICE),1
2024-07-25,그랜드테이블,초코라떼(HOT),2
2024-07-25,그랜드테이블,초코라떼(ICE),4
2024-07-25,그랜드테이블,청포도주스(ICE),1
2024-07-25,그랜드테이블,아메리카노(HOT),20
2024-07-25,그랜드테이블,아메리카노(ICE),33
2024-07-25,그랜드테이블,아이스메리 스트로베리,1
2024-07-25,그랜드테이블,꿀자몽블랙티(HOT),1
2024-07-25,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-25,그랜드테이블,유자티(HOT),1
2024-07-25,그랜드테이블,유자티(ICE),2
2024-07-26,그랜드테이블,카페라떼(HOT),3
2024-07-26,그랜드테이블,카페라떼(ICE),5
2024-07-26,그랜드테이블,바닐라라떼(ICE),8
2024-07-26,그랜드테이블,카페모카(ICE),1
2024-07-26,그랜드테이블,초코라떼(ICE),9
2024-07-26,그랜드테이블,아이스티,6
2024-07-26,그랜드테이블,청포도주스(ICE),5
2024-07-26,그랜드테이블,아메리카노(HOT),26
2024-07-26,그랜드테이블,아메리카노(ICE),51
2024-07-26,그랜드테이블,아이스메리 스트로베리,2
2024-07-26,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-26,그랜드테이블,유자티(HOT),1
2024-07-26,그랜드테이블,유자티(ICE),3
2024-07-26,그랜드테이블,아임파인주스,1
2024-07-27,그랜드테이블,카페라떼(HOT),3
2024-07-27,그랜드테이블,카페라떼(ICE),12
2024-07-27,그랜드테이블,카푸치노(HOT),2
2024-07-27,그랜드테이블,바닐라라떼(HOT),7
2024-07-27,그랜드테이블,바닐라라떼(ICE),4
2024-07-27,그랜드테이블,카페모카(HOT),2
2024-07-27,그랜드테이블,카페모카(ICE),1
2024-07-27,그랜드테이블,초코라떼(ICE),3
2024-07-27,그랜드테이블,아이스티,1
2024-07-27,그랜드테이블,청포도주스(ICE),8
2024-07-27,그랜드테이블,아메리카노(HOT),29
2024-07-27,그랜드테이블,아메리카노(ICE),51
2024-07-27,그랜드테이블,아이스메리 스트로베리,7
2024-07-27,그랜드테이블,꿀자몽블랙티(ICE),2
2024-07-27,그랜드테이블,유자티(HOT),2
2024-07-27,그랜드테이블,유자티(ICE),1
2024-07-27,그랜드테이블,아임파인주스,2
2024-07-28,그랜드테이블,카페라떼(HOT),5
2024-07-28,그랜드테이블,카페라떼(ICE),9
2024-07-28,그랜드테이블,카푸치노(HOT),3
2024-07-28,그랜드테이블,바닐라라떼(HOT),3
2024-07-28,그랜드테이블,바닐라라떼(ICE),5
2024-07-28,그랜드테이블,카페모카(ICE),6
2024-07-28,그랜드테이블,초코라떼(ICE),4
2024-07-28,그랜드테이블,아이스티,1
2024-07-28,그랜드테이블,청포도주스(ICE),2
2024-07-28,그랜드테이블,아메리카노(HOT),22
2024-07-28,그랜드테이블,아메리카노(ICE),59
2024-07-28,그랜드테이블,아이스메리 스트로베리,3
2024-07-28,그랜드테이블,꿀자몽블랙티(HOT),2
2024-07-28,그랜드테이블,꿀자몽블랙티(ICE),3
2024-07-28,그랜드테이블,유자티(HOT),1
2024-07-28,그랜드테이블,유자티(ICE),2
2024-07-31,그랜드테이블,카페라떼(ICE),1
2024-07-31,그랜드테이블,바닐라라떼(ICE),5
2024-07-31,그랜드테이블,카페모카(ICE),1
2024-07-31,그랜드테이블,초코라떼(ICE),3
2024-07-31,그랜드테이블,아이스티,7
2024-07-31,그랜드테이블,아메리카노(HOT),5
2024-07-31,그랜드테이블,아메리카노(ICE),15
2024-07-31,그랜드테이블,아임파인주스,2
2024-08-01,그랜드테이블,카페라떼(HOT),9
2024-08-01,그랜드테이블,카페라떼(ICE),5
2024-08-01,그랜드테이블,바닐라라떼(HOT),5
2024-08-01,그랜드테이블,바닐라라떼(ICE),7
2024-08-01,그랜드테이블,카페모카(HOT),1
2024-08-01,그랜드테이블,카페모카(ICE),1
2024-08-01,그랜드테이블,초코라떼(ICE),2
2024-08-01,그랜드테이블,아이스티,2
2024-08-01,그랜드테이블,청포도주스(ICE),2
2024-08-01,그랜드테이블,아메리카노(HOT),19
2024-08-01,그랜드테이블,아메리카노(ICE),28
2024-08-01,그랜드테이블,아이스메리 스트로베리,1
2024-08-01,그랜드테이블,꿀자몽블랙티(ICE),1
2024-08-01,그랜드테이블,유자티(ICE),2
2024-08-01,그랜드테이블,아임파인주스,4
2024-08-02,그랜드테이블,카페라떼(ICE),4
2024-08-02,그랜드테이블,바닐라라떼(ICE),3
2024-08-02,그랜드테이블,초코라떼(ICE),3
2024-08-02,그랜드테이블,아이스티,7
2024-08-02,그랜드테이블,청포도주스(ICE),3
2024-08-02,그랜드테이블,아메리카노(HOT),2
2024-08-02,그랜드테이블,아메리카노(ICE),19
2024-08-02,그랜드테이블,아이스메리 스트로베리,2
2024-08-02,그랜드테이블,꿀자몽블랙티(HOT),1
2024-08-02,그랜드테이블,유자티(ICE),3
2024-08-02,그랜드테이블,아임파인주스,5
2024-08-03,그랜드테이블,카페라떼(HOT),1
2024-08-03,그랜드테이블,카페라떼(ICE),1
2024-08-03,그랜드테이블,바닐라라떼(ICE),3
2024-08-03,그랜드테이블,카페모카(ICE),1
2024-08-03,그랜드테이블,초코라떼(ICE),5
2024-08-03,그랜드테이블,아이스티,6
2024-08-03,그랜드테이블,청포도주스(ICE),10
2024-08-03,그랜드테이블,아메리카노(HOT),5
2024-08-03,그랜드테이블,아메리카노(ICE),12
2024-08-03,그랜드테이블,아이스메리 스트로베리,4
2024-08-03,그랜드테이블,꿀자몽블랙티(ICE),2
2024-08-03,그랜드테이블,유자티(HOT),1
2024-08-03,그랜드테이블,유자티(ICE),5
2024-08-03,그랜드테이블,아임파인주스,7
2024-08-04,그랜드테이블,카페라떼(HOT),3
2024-08-04,그랜드테이블,카페라떼(ICE),7
2024-08-04,그랜드테이블,바닐라라떼(HOT),7
2024-08-04,그랜드테이블,바닐라라떼(ICE),9
2024-08-04,그랜드테이블,카페모카(HOT),1
2024-08-04,그랜드테이블,카페모카(ICE),1
2024-08-04,그랜드테이블,초코라떼(ICE),1
2024-08-04,그랜드테이블,아이스티,3
2024-08-04,그랜드테이블,청포도주스(ICE),4
2024-08-04,그랜드테이블,아메리카노(HOT),13
2024-08-04,그랜드테이블,아메리카노(ICE),34
2024-08-04,그랜드테이블,아이스메리 스트로베리,3
2024-08-04,그랜드테이블,꿀자몽블랙티(HOT),2
2024-08-04,그랜드테이블,꿀자몽블랙티(ICE),3
2024-08-04,그랜드테이블,유자티(HOT),1
2024-08-04,그랜드테이블,아임파인주스,4
2024-09-10,그랜드테이블,카페모카(ICE),2
2024-09-10,그랜드테이블,아메리카노(HOT),1
2024-09-10,그랜드테이블,아메리카노(ICE),4
2024-09-11,그랜드테이블,카페라떼(HOT),3
2024-09-11,그랜드테이블,카페라떼(ICE),5
2024-09-11,그랜드테이블,아메리카노(HOT),13
2024-09-11,그랜드테이블,아메리카노(ICE),8
2024-09-12,그랜드테이블,카페라떼(HOT),4
2024-09-12,그랜드테이블,카페라떼(ICE),5
2024-09-12,그랜드테이블,아메리카노(HOT),12
2024-09-12,그랜드테이블,아메리카노(ICE),13
2024-09-13,그랜드테이블,카페라떼(HOT),2
2024-09-13,그랜드테이블,카페라떼(ICE),6
2024-09-13,그랜드테이블,카푸치노(HOT),1
2024-09-13,그랜드테이블,바닐라라떼(ICE),2
2024-09-13,그랜드테이블,초코라떼(ICE),1
2024-09-13,그랜드테이블,아메리카노(HOT),16
2024-09-13,그랜드테이블,아메리카노(ICE),12
2024-09-13,그랜드테이블,아이스메리 스트로베리,1
2024-09-13,그랜드테이블,꿀자몽블랙티(ICE),1
2024-09-13,그랜드테이블,유자티(HOT),1
2024-09-14,그랜드테이블,카페라떼(HOT),3
2024-09-14,그랜드테이블,카페라떼(ICE),1
2024-09-14,그랜드테이블,바닐라라떼(HOT),1
2024-09-14,그랜드테이블,바닐라라떼(ICE),5
2024-09-14,그랜드테이블,카페모카(ICE),1
2024-09-14,그랜드테이블,아이스티,5
2024-09-14,그랜드테이블,청포도주스(ICE),5
2024-09-14,그랜드테이블,아메리카노(HOT),24
2024-09-14,그랜드테이블,아메리카노(ICE),38
2024-09-14,그랜드테이블,아이스메리 스트로베리,2
2024-09-14,그랜드테이블,꿀자몽블랙티(HOT),3
2024-09-14,그랜드테이블,꿀자몽블랙티(ICE),5
2024-09-14,그랜드테이블,유자티(HOT),1
2024-09-14,그랜드테이블,유자티(ICE),5
2024-09-14,그랜드테이블,아임파인주스,7
2024-09-16,그랜드테이블,카페라떼(HOT),1
2024-09-16,그랜드테이블,카페라떼(ICE),4
2024-09-16,그랜드테이블,카푸치노(HOT),2
2024-09-16,그랜드테이블,바닐라라떼(HOT),2
2024-09-16,그랜드테이블,바닐라라떼(ICE),2
2024-09-16,그랜드테이블,카페모카(ICE),1
2024-09-16,그랜드테이블,초코라떼(HOT),1
2024-09-16,그랜드테이블,초코라떼(ICE),6
2024-09-16,그랜드테이블,아이스티,8
2024-09-16,그랜드테이블,청포도주스(ICE),5
2024-09-16,그랜드테이블,아메리카노(HOT),12
2024-09-16,그랜드테이블,아메리카노(ICE),24
2024-09-16,그랜드테이블,아이스메리 스트로베리,9
2024-09-16,그랜드테이블,꿀자몽블랙티(ICE),2
2024-09-16,그랜드테이블,유자티(HOT),1
2024-09-16,그랜드테이블,유자티(ICE),4
2024-09-16,그랜드테이블,아임파인주스,5
2024-09-17,그랜드테이블,카페라떼(HOT),11
2024-09-17,그랜드테이블,카페라떼(ICE),7
2024-09-17,그랜드테이블,바닐라라떼(HOT),4
2024-09-17,그랜드테이블,바닐라라떼(ICE),7
2024-09-17,그랜드테이블,카페모카(ICE),1
2024-09-17,그랜드테이블,초코라떼(HOT),2
2024-09-17,그랜드테이블,초코라떼(ICE),1
2024-09-17,그랜드테이블,아이스티,6
2024-09-17,그랜드테이블,청포도주스(ICE),7
2024-09-17,그랜드테이블,아메리카노(HOT),24
2024-09-17,그랜드테이블,아메리카노(ICE),57
2024-09-17,그랜드테이블,아이스메리 스트로베리,2
2024-09-17,그랜드테이블,꿀자몽블랙티(ICE),2
2024-09-17,그랜드테이블,유자티(HOT),2
2024-09-17,그랜드테이블,유자티(ICE),2
2024-09-17,그랜드테이블,아임파인주스,5
2024-09-18,그랜드테이블,카페라떼(HOT),4
2024-09-18,그랜드테이블,카페라떼(ICE),2
2024-09-18,그랜드테이블,바닐라라떼(HOT),3
2024-09-18,그랜드테이블,바닐라라떼(ICE),1
2024-09-18,그랜드테이블,초코라떼(ICE),1
2024-09-18,그랜드테이블,아이스티,3
2024-09-18,그랜드테이블,아메리카노(HOT),18
2024-09-18,그랜드테이블,아메리카노(ICE),22
2024-09-18,그랜드테이블,아이스메리 스트로베리,3
2024-09-18,그랜드테이블,꿀자몽블랙티(ICE),2
2024-09-18,그랜드테이블,유자티(HOT),1
2024-09-18,그랜드테이블,유자티(ICE),1
